
Época 37300| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 37400| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 37500| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 37600| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 37700| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 37800| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 37900| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38000| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38100| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38200| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38300| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38400| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38500| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38600| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

Época 38700| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 38800| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 38900| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39000| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39100| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39200| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39300| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39400| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39500| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

